price,surface,piece,rooms,bathroom,address,description,more_features_1_dict,more_features_2_dict
Prix à consulter,430 m²,,,,Hay Arrahma à Casablanca,"Terain a vendre zone villa
Nombreuses possibilités pour ce terrain à la vente. Surface du bien : 430 m².

Venez découvrir ce terrain en vente à Hay Arrahma, Casablanca.",{'Type de bien\nTerrain': 'Type de bien\nTerrain'},{}
4 640 000 DH,290 m²,,,,Burger à Casablanca,"Excellente opportunité, immobilier 290 m2, Maarif
Excellente opportunité , A vendre un bien immobilier terrain 290 m2, 5 appartements, un grand garage. très bon placement a Maarif en face de résidence Nadia. Accès au Subway a 2 mn du Beauséjour. Prix 16000 dh/m2.",{'Type de bien\nTerrain': 'Type de bien\nTerrain'},{}
4 460 000 DH,240 m²,2 Pièces,6 Chambres,3 Salles de bains,Oulfa à Casablanca,"Vente maison à Oulfa. 6 belles chambres. Salon traditionnel, antenne parabolique générale
Occasion à saisir pour cette maison à vendre. Prix 4 460 000 DH. 6 chambres, 3 salles de bains, surface 240 m². 2 pièces lumineuses. Moins de 20 ans. Antenne parabolique. Le bien dispose également d'un beau salon marocain traditionnel.

Venez découvrir cette maison à vendre à Oulfa. Air conditionné. Terrasse.

Contactez-nous pour visiter cette maison à vendre à Casablanca. Confortable salon européen.","{'Type de bien\nMaison': 'Type de bien\nMaison', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Orientation\nNord': 'Orientation\nNord'}","{'Terrasse': 'Terrasse', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Climatisation': 'Climatisation'}"
Prix à consulter,34 m²,1 Salle de bain,,,Aïn Sebaâ à Casablanca,"Magasin 20m² Soupente 14m² avec WC
Magasin 20m² Soupente 14m² avec WC","{'Type de bien\nLocal commercial': 'Type de bien\nLocal commercial', 'Etat\nNouveau': 'Etat\nNouveau', ""Etat du bien\nMoins d'un an"": ""Etat du bien\nMoins d'un an"", 'Type du sol\nCarrelage': 'Type du sol\nCarrelage'}",{}
870 000 DH,82 m²,1 Pièce,2 Chambres,1 Salle de bain,Oulfa à Casablanca,"Appart à vendre
Je céde cet appartement parceque je quitte définitivement le Maroc prochainement.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nCarrelage': 'Type du sol\nCarrelage'}",{'Terrasse': 'Terrasse'}
32 000 DH,163 m²,,,,Ancienne Medina à Casablanca,"Casa Immeuble à rénover ou pour construction R5
Vend immeuble titré de 163 M² au sol à rénover ou à détruire pour construction autorisée de R5
Très belle opportunité pour construire immeuble locatif et locaux commerciaux au RDC
Situé à l’entrée de l’ancienne Medina à seulement 600 mètres de la Mosquée Hassan II, et 200 mètres du parc des expositions de la foire internationale de Casablanca.
Prix 32.000 dirhams M²

Pour la note de renseignement et plus informations, veuillez me contacter en Espagne via WhatsApp
FATIMA",{'Type de bien\nTerrain': 'Type de bien\nTerrain'},{}
3 200 000 DH,208 m²,4 Pièces,3 Chambres,2 Salles de bains,Palmier à Casablanca,"Superbe appartement à vendre à Palmier vue dégagée. 3 chambres 208m2. Terrasse
Achetez votre appartement. Prix 3 200 000 DH. 4 pièces, 2 salles de bains privatives, 208 m². 3 chambres. 6ème étage. Moins de 20 ans. Revêtement: Marbre. Dispose d'une terrasse. Résidence avec ascenseur.

Cet appartement vous offre un ensoleillement irréprochable et une vue dégagée dans une rue calme à proximité du prestigieux parc mohamed abdou.

Idéal si vous souhaitez acheter un appartement à Palmier. Nombreux équipements dont cheminée. La résidence dispose également d'un service de conciergerie. Confort et tradition avec salon marocain.

Contactez-nous si vous êtes intéressé par cet appartement à Casablanca. Salon contemporain. Cuisine équipée.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Étage du bien\n6ème': 'Étage du bien\n6ème', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Cheminée': 'Cheminée', 'Cuisine équipée': 'Cuisine équipée'}"
Prix à consulter,53 m²,1 Pièce,1 Chambre,1 Salle de bain,Aïn Sebaâ à Casablanca,"Appartement en vente à Aïn Sebaâ. Surface totale 53 m²
Appartement idéal à la vente. 1 salle de bains, 53 m². 1 Pièces. 1 chambre. 1er étage. Bon état.

Cet appartement est en vente à Aïn Sebaâ, Casablanca. (Résidence fermée bien sécurisée ) (prix négociable )","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Étage du bien\n1er': 'Étage du bien\n1er'}","{'Jardin': 'Jardin', 'Concierge': 'Concierge'}"
Prix à consulter,125 m²,3 Pièces,5 Chambres,3 Salles de bains,Hay Inara à Casablanca,"Maison à la vente à el omarya. Surface de 125 m²
Ne laissez pas passer cette maison à vendre. Prix 5 800 000 DH. 5 chambres, 3 salles de bains, 125 m². 3 pièces. Bon état. Entièrement meublé.

Cette belle maison est en vente à Hay Inara. Sécurité maximale avec système de surveillance et porte blindée. Superbe salon marocain. En plus d'une terrasse, dispose également d'un jardin et d'un parking.

Contactez-nous si vous êtes intéressé par cette maison à Casablanca. Confort et sécurité avec chauffage central et double vitrage. En prime, une magnifique vue sur les montagnes. Confortable salon européen. Four micro-ondes.
Pour plus d'informations apple agent immobilier","{'Type de bien\nMaison': 'Type de bien\nMaison', 'Etat\nBon état': 'Etat\nBon état'}","{'Jardin': 'Jardin', 'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Vue sur les montagnes': 'Vue sur les montagnes', 'Chambre rangement': 'Chambre rangement', 'Meublé': 'Meublé', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Climatisation': 'Climatisation', 'Chauffage central': 'Chauffage central', 'Sécurité': 'Sécurité', 'Double vitrage': 'Double vitrage', 'Porte blindée': 'Porte blindée', 'Cuisine équipée': 'Cuisine équipée', 'Réfrigérateur': 'Réfrigérateur', 'Four': 'Four', 'Machine à laver': 'Machine à laver', 'Micro-ondes': 'Micro-ondes'}"
420 000 DH,60 m²,3 Pièces,3 Chambres,1 Salle de bain,Zone Industrielle à Casablanca,"Apparemment à vendre à hay Alazhar
Apparemment de 60 m2 , avec deux places garages en sous sol pour véhicule ou stockage et une terrasse de 33 m2 constructible","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Étage du bien\n2ème': 'Étage du bien\n2ème', 'Orientation\nNord': 'Orientation\nNord'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage'}"
